GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
753911836,20180508,201805,2018,2018.3507,CAN,ALBERTA,CAN,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,138," Threaten to use military force, not specified below",138,13,3,-7.0,12,4,12,-5.58558558558559,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20180508001500,https://edge.ca/news/4192887/kenney-returns-to-ottawa-as-wing-man-in-tories-fight-against-carbon-tax/
753911837,20180508,201805,2018,2018.3507,CAN,ONTARIO,CAN,,,,,,,,HLH,REGISTERED NURSE,,,,,,HLH,,,1,040," Consult, not specified below",040,04,1,1.0,10,1,10,0.98039215686275,0,,,,,,,,0,,,,,,,,0,,,,,,,,20180508001500,http://www.theobserver.ca/2018/05/07/no-date-yet-for-liberal-candidate-nomination-in-sarnia-lambton
753911838,20180508,201805,2018,2018.3507,CAN,CANADA,CAN,,,,,,,,JOR,JORDAN,JOR,,,,,,,,1,100," Demand, not specified below",100,10,3,-5.0,1,1,1,-8.03571428571429,1,Canada,CA,CA,,60.0,-96.0,CA,1,Canada,CA,CA,,60.0,-96.0,CA,1,Canada,CA,CA,,60.0,-96.0,CA,20180508001500,http://home.bt.com/tv.bt.com/tv/tv-news/jordan-peterson-criticises-channel-4-news-over-interview-11364269242874
753911839,20180508,201805,2018,2018.3507,CAN,CANADA,CAN,,,,,,,,JUD,LAWYER,,,,,,JUD,,,1,015, Acknowledge or claim responsibility,015,01,1,0.0,2,1,2,-2.60115606936416,4,"Niagara Falls, Ontario, Canada",CA,CA08,30536,43.1,-79.05,-570141,4,"Niagara Falls, Ontario, Canada",CA,CA08,30536,43.1,-79.05,-570141,4,"Niagara Falls, Ontario, Canada",CA,CA08,30536,43.1,-79.05,-570141,20180508001500,https://www.niagarafallsreview.ca/news-story/8594192-stormy-daniels-to-visit-windsor-ont-/
753911840,20180508,201805,2018,2018.3507,CAN,CANADA,CAN,,,,,,,,JUD,LAWYER,,,,,,JUD,,,1,015, Acknowledge or claim responsibility,015,01,1,0.0,2,1,2,-2.60115606936416,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20180508001500,https://www.niagarafallsreview.ca/news-story/8594192-stormy-daniels-to-visit-windsor-ont-/
753911841,20180508,201805,2018,2018.3507,CAN,CANADA,CAN,,,,,,,,MED,MAGAZINE,,,,,,MED,,,1,010," Make statement, not specified below",010,01,1,0.0,2,1,2,-8.03571428571429,1,Canada,CA,CA,,60.0,-96.0,CA,1,Canada,CA,CA,,60.0,-96.0,CA,1,Canada,CA,CA,,60.0,-96.0,CA,20180508001500,http://home.bt.com/tv.bt.com/tv/tv-news/jordan-peterson-criticises-channel-4-news-over-interview-11364269242874
753911842,20180508,201805,2018,2018.3507,CAN,MONTREAL,CAN,,,,,,,,NGA,NIGERIA,NGA,,,,,,,,1,036, Express intent to meet or negotiate,036,03,1,4.0,10,1,10,0.84459459459459,4,"Montreal, Quebec, Canada",CA,CA10,12713,45.5,-73.5833,-569541,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,4,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,20180508001500,https://www.thestar.com/news/canada/2018/05/07/federal-immigration-minister-warns-seeking-asylum-in-canada-is-no-free-ticket.html
753911843,20180508,201805,2018,2018.3507,CANEDU,TORONTO,CAN,,,,,EDU,,,PTY,POLITICIAN,,,,,,,,,0,130," Threaten, not specified below",130,13,3,-4.4,4,2,4,-1.78891449052739,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20180508001500,https://www.cp24.com/news/wynne-horwath-take-aim-at-ford-in-first-debate-ahead-of-ontario-election-1.3917992
753911844,20180508,201805,2018,2018.3507,CANGOV,CANADA,CAN,,,,,GOV,,,,,,,,,,,,,0,020," Appeal, not specified below",020,02,1,3.0,8,1,8,0.84459459459459,4,"Quebec, Quebec, Canada",CA,CA10,12750,47.5,-72.0,-571850,0,,,,,,,,4,"Quebec, Quebec, Canada",CA,CA10,12750,47.5,-72.0,-571850,20180508001500,https://www.thestar.com/news/canada/2018/05/07/federal-immigration-minister-warns-seeking-asylum-in-canada-is-no-free-ticket.html
753911845,20180508,201805,2018,2018.3507,CANGOV,JASON KENNEY,CAN,,,,,GOV,,,,,,,,,,,,,1,051, Praise or endorse,051,05,1,3.4,10,1,10,-0.11299435028247999,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,0,,,,,,,,4,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20180508001500,http://www.cbc.ca/news/canada/calgary/ucp-kenney-carbon-tax-power-politics-large-emitters-1.4652145
