"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","CAMEOCodeDescription","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_ADM2Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_ADM2Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_ADM2Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
719948646,20180105,201801,2018,2018.0137,"CHNBUS","CHINESE","CHN","","","","","BUS","","","CHN","CHINA","CHN","","","","","","","",1,192," Occupy territory",192,19,4,-9.5,6,1,6,-0.68965517241379,4,"Shandong, Jiangsu, China","CH","CH04","13151",32.9793,118.852,"11415469",4,"Shandong, Jiangsu, China","CH","CH04","13151",32.9793,118.852,"11415469",4,"Shandong, Jiangsu, China","CH","CH04","13151",32.9793,118.852,"11415469",20180105044500,"http://vancouversun.com/news/local-news/illegally-shipping-money-from-china-into-b-c-real-estate-as-laid-out-in-b-c-court-case"
719950677,20180105,201801,2018,2018.0137,"CHN","BEIJING","CHN","","","","","","","","","","","","","","","","","",1,51," Praise or endorse",51,5,1,3.4,10,1,10,0.421940928270046,3,"Pikes Peak, Colorado, United States","US","USCO","CO041",38.8405,-105.044,"204770",0,"","","","",NA,NA,"",3,"Pikes Peak, Colorado, United States","US","USCO","",38.8405,-105.044,"204770",20180105050000,"https://paultan.org/2018/01/05/volkswagen-gives-us-a-rundown-of-its-plans-for-2018/"
719950678,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","AUS","AUSTRALIA","AUS","","","","","","","",0,42," Make a visit",42,4,1,1.9,4,1,4,3.92156862745099,1,"Nicaragua","NU","NU","",13,-85,"NU",4,"Perth, Western Australia, Australia","AS","AS08","5533",-31.9333,115.833,"-1594675",1,"Nicaragua","NU","NU","",13,-85,"NU",20180105050000,"http://www.dailymail.co.uk/news/article-5237503/The-time-housesitters-travelled-world.html"
719950679,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","AUS","AUSTRALIA","AUS","","","","","","","",0,42," Make a visit",42,4,1,1.9,1,1,1,3.92156862745099,1,"Nicaragua","NU","NU","",13,-85,"NU",1,"Nicaragua","NU","NU","",13,-85,"NU",1,"Nicaragua","NU","NU","",13,-85,"NU",20180105050000,"http://www.dailymail.co.uk/news/article-5237503/The-time-housesitters-travelled-world.html"
719950680,20180105,201801,2018,2018.0137,"CHN","CHINESE","CHN","","","","","","","","CHNGOV","CHINA","CHN","","","","","GOV","","",0,51," Praise or endorse",51,5,1,3.4,4,1,4,1.20481927710844,1,"China","CH","CH","",35,105,"CH",1,"China","CH","CH","",35,105,"CH",4,"Pyeongchang, Kangwon-do, South Korea","KS","KS06","24978",37.3703,128.393,"-713955",20180105050000,"https://www.globalsecurity.org/wmd/library/news/dprk/2018/dprk-180104-presstv01.htm"
719950681,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","GBR","UNITED KINGDOM","GBR","","","","","","","",0,36," Express intent to meet or negotiate",36,3,1,4,1,1,1,3.92156862745099,4,"Shenzhen, Guangdong, China","CH","CH30","13036",22.2,111.117,"-1925267",1,"Fiji","FJ","FJ","",-18,178,"FJ",1,"Fiji","FJ","FJ","",-18,178,"FJ",20180105050000,"http://www.dailymail.co.uk/news/article-5237503/The-time-housesitters-travelled-world.html"
719950682,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","GBR","UNITED KINGDOM","GBR","","","","","","","",0,36," Express intent to meet or negotiate",36,3,1,4,3,1,3,3.92156862745099,4,"Shenzhen, Guangdong, China","CH","CH30","13036",22.2,111.117,"-1925267",1,"United Kingdom","UK","UK","",54,-4,"UK",4,"Perth, Western Australia, Australia","AS","AS08","5533",-31.9333,115.833,"-1594675",20180105050000,"http://www.dailymail.co.uk/news/article-5237503/The-time-housesitters-travelled-world.html"
719950683,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","GBR","UNITED KINGDOM","GBR","","","","","","","",0,36," Express intent to meet or negotiate",36,3,1,4,1,1,1,3.92156862745099,4,"Shenzhen, Guangdong, China","CH","CH30","13036",22.2,111.117,"-1925267",1,"United Kingdom","UK","UK","",54,-4,"UK",1,"United Kingdom","UK","UK","",54,-4,"UK",20180105050000,"http://www.dailymail.co.uk/news/article-5237503/The-time-housesitters-travelled-world.html"
719950684,20180105,201801,2018,2018.0137,"CHN","HARBIN","CHN","","","","","","","","GOV","ADMINISTRATION","","","","","","GOV","","",1,90," Investigate, not specified below",90,9,2,-2,10,1,10,7.9646017699115,0,"","","","",NA,NA,"",0,"","","","",NA,NA,"",0,"","","","",NA,NA,"",20180105050000,"http://e.my399.com/news/2018-01-05/3592.html"
719950685,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","PAK","PAKISTAN","PAK","","","","","","","",0,70," Provide aid, not specified below",70,7,2,7,10,1,10,1.90476190476191,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",3,"Washington, District of Columbia, United States","US","USDC","DC001",38.8951,-77.0364,"531871",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105050000,"http://www.firstpost.com/world/islamabads-relationship-with-china-and-us-not-the-same-says-us-official-terms-beijings-investments-in-pakistan-essential-4288213.html"
719950686,20180105,201801,2018,2018.0137,"CHNGOV","CHINESE","CHN","","","","","GOV","","","","","","","","","","","","",0,51," Praise or endorse",51,5,1,3.4,4,1,4,1.20481927710844,1,"China","CH","CH","",35,105,"CH",0,"","","","",NA,NA,"",4,"Pyeongchang, Kangwon-do, South Korea","KS","KS06","24978",37.3703,128.393,"-713955",20180105050000,"https://www.globalsecurity.org/wmd/library/news/dprk/2018/dprk-180104-presstv01.htm"
719950687,20180105,201801,2018,2018.0137,"CHNGOV","CHINA","CHN","","","","","GOV","","","","","","","","","","","","",0,51," Praise or endorse",51,5,1,3.4,2,1,2,1.20481927710844,1,"China","CH","CH","",35,105,"CH",0,"","","","",NA,NA,"",1,"China","CH","CH","",35,105,"CH",20180105050000,"https://www.globalsecurity.org/wmd/library/news/dprk/2018/dprk-180104-presstv01.htm"
719950688,20180105,201801,2018,2018.0137,"CHNGOV","CHINA","CHN","","","","","GOV","","","CHN","CHINA","CHN","","","","","","","",1,331," Express intent to provide economic aid",33,3,1,5.2,2,1,2,-4.6875,1,"Singapore","SN","SN","",1.366667,103.8,"SN",1,"Singapore","SN","SN","",1.366667,103.8,"SN",1,"Singapore","SN","SN","",1.366667,103.8,"SN",20180105050000,"https://www.cnbc.com/2018/01/04/global-battle-of-tax-codes-the-us-and-china-just-upped-the-arms-race.html"
719950689,20180105,201801,2018,2018.0137,"CHNJUD","CHINA","CHN","","","","","JUD","","","CHN","CHINA","CHN","","","","","","","",1,10," Make statement, not specified below",10,1,1,0,2,1,2,-6.02409638554217,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",4,"Xinjiang, Jiangxi, China","CH","CH03","13167",27.7481,116.274,"11065838",4,"Xinjiang, Jiangxi, China","CH","CH03","13167",27.7481,116.274,"11065838",20180105050000,"http://www.seattlepi.com/news/crime/article/China-tries-Tibetan-language-advocate-featured-in-12472588.php"
719952719,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,10," Make statement, not specified below",10,1,1,0,4,1,4,0.51020408163266,4,"Yangtze River, China (general), China","CH","CH00","13243",31.7867,121.141,"-1899838",0,"","","","",NA,NA,"",4,"Yangtze River, China (general), China","CH","CH00","13243",31.7867,121.141,"-1899838",20180105051500,"http://english.china.com/news/china/54/20180105/1169750.html"
719952720,20180105,201801,2018,2018.0137,"CHN","CHINA","CHN","","","","","","","","","","","","","","","","","",1,20," Appeal, not specified below",20,2,1,3,10,1,10,1.18518518518518,4,"Huabei, Sichuan, China","CH","CH32","13275",30.4007,105.229,"10329813",0,"","","","",NA,NA,"",4,"Huabei, Sichuan, China","CH","CH32","13275",30.4007,105.229,"10329813",20180105051500,"http://english.china.com/news/business/56/20180105/1169617.html"
719952721,20180105,201801,2018,2018.0137,"CHN","BEIJING","CHN","","","","","","","","","","","","","","","","","",1,30," Express intent to cooperate, not specified below",30,3,1,4,10,1,10,0.641025641025641,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",0,"","","","",NA,NA,"",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105051500,"http://english.china.com/news/business/56/20180105/1169737.html"
719952722,20180105,201801,2018,2018.0137,"CHN","BEIJING","CHN","","","","","","","","","","","","","","","","","",1,36," Express intent to meet or negotiate",36,3,1,4,10,1,10,0.641025641025641,4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",0,"","","","",NA,NA,"",4,"Beijing, Beijing, China","CH","CH22","13001",39.9289,116.388,"-1898541",20180105051500,"http://english.china.com/news/business/56/20180105/1169737.html"
719952723,20180105,201801,2018,2018.0137,"CHN","CHANGSHA","CHN","","","","","","","","","","","","","","","","","",1,46," Engage in negotiation",46,4,1,7,10,1,10,2.72727272727273,4,"Changsha, Hunan, China","CH","CH11","13130",28.2,112.967,"-1899978",0,"","","","",NA,NA,"",4,"Changsha, Hunan, China","CH","CH11","13130",28.2,112.967,"-1899978",20180105051500,"http://english.china.com/news/business/56/20180105/1169621.html"
