"GlobalEventID","dateEvent","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","dateDocument","SOURCEURL","river"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253572671,"2013-04-04",201304,2013,2013.2575,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,1,43,43,4,1,2.8,10,1,10,0.997506234413965,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-04","http://www.couriermail.com.au/news/pigs-cant-fly-qantas-bans-pork-on-in-flight-menu-to-respect-islam/story-e6freon6-1226612841997?from=public_rss","fly"
253580450,"2013-04-04",201304,2013,2013.2575,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,1,1.9,10,1,10,0.997506234413965,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-04","http://www.couriermail.com.au/news/pigs-cant-fly-qantas-bans-pork-on-in-flight-menu-to-respect-islam/story-e6freon6-1226612841997?from=public_rss","fly"
253590100,"2013-04-04",201304,2013,2013.2575,"LBN","LEBANON","LBN",NA,NA,NA,NA,NA,NA,NA,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,1,1.9,16,1,16,1.97585071350165,1,"Lebanon","LE","LE",33.8333,35.8333,"LE",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
253590101,"2013-04-04",201304,2013,2013.2575,"LBN","LEBANON","LBN",NA,NA,NA,NA,NA,NA,NA,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,1,1.9,4,1,4,1.97585071350165,1,"Turkey","TU","TU",39,35,"TU",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
253593448,"2013-04-04",201304,2013,2013.2575,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,91,91,9,2,-2,2,1,2,2.42825607064018,1,"France","FR","FR",46,2,"FR",1,"Russia","RS","RS",60,100,"RS",1,"Russia","RS","RS",60,100,"RS","2013-04-04","http://www.dailymail.co.uk/news/article-2304028/Hollande-left-red-faced-Socialist-Party-treasurer-admits-holding-shares-firms-registered-offshore-tax-haven.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490","red"
253593449,"2013-04-04",201304,2013,2013.2575,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,91,91,9,2,-2,2,1,2,2.42825607064018,1,"Russia","RS","RS",60,100,"RS",1,"Russia","RS","RS",60,100,"RS",1,"Switzerland","SZ","SZ",47,8,"SZ","2013-04-04","http://www.dailymail.co.uk/news/article-2304028/Hollande-left-red-faced-Socialist-Party-treasurer-admits-holding-shares-firms-registered-offshore-tax-haven.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490","red"
253597950,"2013-04-04",201304,2013,2013.2575,"SYR","SYRIAN","SYR",NA,NA,NA,NA,NA,NA,NA,"IMGMOSRUSCNY","MUHANNAD","RUS",NA,NA,"MOS",NA,"IMG",NA,NA,1,12,12,1,1,-0.4,2,1,2,2.93501048218029,4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260",4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260",4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260","2013-04-04","http://www.dailystar.com.lb/News/Middle-East/2013/Apr-05/212644-red-cross-humanitarian-crisis-worsening-rapidly.ashx","red"
253598064,"2013-04-04",201304,2013,2013.2575,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,"LBN","LEBANON","LBN",NA,NA,NA,NA,NA,NA,NA,1,43,43,4,1,2.8,16,1,16,1.97585071350165,4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414",1,"Lebanon","LE","LE",33.8333,35.8333,"LE",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
253598065,"2013-04-04",201304,2013,2013.2575,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,"LBN","LEBANON","LBN",NA,NA,NA,NA,NA,NA,NA,1,43,43,4,1,2.8,4,1,4,1.97585071350165,4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414",1,"Turkey","TU","TU",39,35,"TU",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
253598183,"2013-04-04",201304,2013,2013.2575,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,"TURREF","TURKEY","TUR",NA,NA,NA,NA,"REF",NA,NA,1,43,43,4,1,2.8,20,1,20,1.97585071350165,4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414",1,"Turkey","TU","TU",39,35,"TU",4,"Ramtha, Al Qunaytirah, Syria","SY","SY03",33.2854,35.69,"-2546414","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
253598857,"2013-04-04",201304,2013,2013.2575,"TURREF","TURKEY","TUR",NA,NA,NA,NA,"REF",NA,NA,"SYR","SYRIA","SYR",NA,NA,NA,NA,NA,NA,NA,1,42,42,4,1,1.9,20,1,20,1.97585071350165,4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260",4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260",4,"Damascus, Dimashq, Syria","SY","SY13",33.5,36.3,"-2541260","2013-04-04","http://world.time.com/2013/04/04/how-syrias-refugee-crisis-is-draining-jordans-scarce-water-supply/","water"
