"GlobalEventID","dateEvent","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","dateDocument","SOURCEURL","river"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253500698,"2013-04-02",201304,2013,2013.2521,"CYP","CYPRUS","CYP",NA,NA,NA,NA,NA,NA,NA,"CYPBUS","CYPRUS","CYP",NA,NA,NA,NA,"BUS",NA,NA,0,43,43,4,1,2.8,9,1,9,1.82692307692308,1,"Cyprus","CY","CY",35,33,"CY",1,"Cyprus","CY","CY",35,33,"CY",1,"Cyprus","CY","CY",35,33,"CY","2013-04-02","http://www.dw.de/accusations-fly-in-cypriot-blame-game/a-16714723?maca=en-rss-en-eu-2092-rdf","fly"
253500758,"2013-04-02",201304,2013,2013.2521,"CYPBUS","CYPRUS","CYP",NA,NA,NA,NA,"BUS",NA,NA,"CYP","CYPRUS","CYP",NA,NA,NA,NA,NA,NA,NA,0,42,42,4,1,1.9,9,1,9,1.82692307692308,1,"Cyprus","CY","CY",35,33,"CY",1,"Cyprus","CY","CY",35,33,"CY",1,"Cyprus","CY","CY",35,33,"CY","2013-04-02","http://www.dw.de/accusations-fly-in-cypriot-blame-game/a-16714723?maca=en-rss-en-eu-2092-rdf","fly"
253505809,"2013-04-02",201304,2013,2013.2521,"GRCGOV","GREECE","GRC",NA,NA,NA,NA,"GOV",NA,NA,"GRC","GREECE","GRC",NA,NA,NA,NA,NA,NA,NA,0,112,112,11,3,-2,6,1,6,1.82692307692308,4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876",4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876",4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876","2013-04-02","http://www.dw.de/accusations-fly-in-cypriot-blame-game/a-16714723?maca=en-rss-en-eu-2092-rdf","fly"
253505810,"2013-04-02",201304,2013,2013.2521,"GRCGOV","GREECE","GRC",NA,NA,NA,NA,"GOV",NA,NA,"GRC","GREECE","GRC",NA,NA,NA,NA,NA,NA,NA,0,190,190,19,4,-10,6,1,6,1.82692307692308,4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876",4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876",4,"Athens, Attik¨ªR, Greece","GR","GR35",37.9833,23.7333,"-814876","2013-04-02","http://www.dw.de/accusations-fly-in-cypriot-blame-game/a-16714723?maca=en-rss-en-eu-2092-rdf","fly"
253508318,"2013-04-02",201304,2013,2013.2521,"ITA","RIVIERA","ITA",NA,NA,NA,NA,NA,NA,NA,"USAJUD","UNITED STATES","USA",NA,NA,NA,NA,"JUD",NA,NA,1,190,190,19,4,-10,6,1,6,1.88457008244994,3,"Riviera Beach, Florida, United States","US","USFL",26.7753,-80.0581,"289758",2,"Florida, United States","US","USFL",27.8333,-81.717,"FL",3,"Riviera Beach, Florida, United States","US","USFL",26.7753,-80.0581,"289758","2013-04-02","http://www.miamiherald.com/2013/04/02/3319248/houseboat-activist-fane-lozman.html","fane"
253511183,"2013-04-02",201304,2013,2013.2521,"MDV","MALE","MDV",NA,NA,NA,NA,NA,NA,NA,"USA","NEW YORK","USA",NA,NA,NA,NA,NA,NA,NA,1,36,36,3,1,4,3,1,3,1.86480186480186,3,"Plymouth Rock, New York, United States","US","USNY",44.2562,-74.2807,"960788",2,"New York, United States","US","USNY",42.1497,-74.9384,"NY",2,"New York, United States","US","USNY",42.1497,-74.9384,"NY","2013-04-02","http://www.npr.org/blogs/krulwich/2013/04/02/176012068/sing-fly-mate-die-here-come-the-cicadas?ft=1&f=1007","fly"
253511184,"2013-04-02",201304,2013,2013.2521,"MDV","MALE","MDV",NA,NA,NA,NA,NA,NA,NA,"USA","NEW YORK","USA",NA,NA,NA,NA,NA,NA,NA,1,43,43,4,1,2.8,3,1,3,1.86480186480186,3,"Plymouth Rock, New York, United States","US","USNY",44.2562,-74.2807,"960788",2,"New York, United States","US","USNY",42.1497,-74.9384,"NY",3,"Plymouth Rock, New York, United States","US","USNY",44.2562,-74.2807,"960788","2013-04-02","http://www.npr.org/blogs/krulwich/2013/04/02/176012068/sing-fly-mate-die-here-come-the-cicadas?ft=1&f=1007","fly"
253516308,"2013-04-02",201304,2013,2013.2521,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"TJK","TAJIK","TJK",NA,NA,NA,NA,NA,NA,NA,0,10,10,1,1,0,1,1,1,0,4,"Dushanbe, Tajikistan (general), Tajikistan","TI","TI00",38.56,68.7739,"-2555530",5,"Rostov Oblast, Rostovskaya Oblast', Russia","RS","RS61",47,42,"-2993228",5,"Rostov Oblast, Rostovskaya Oblast', Russia","RS","RS61",47,42,"-2993228","2013-04-02","http://news.tj/en/news/fifteen-tajik-nationals-detained-rostov-don-march-30-released","don"
253516309,"2013-04-02",201304,2013,2013.2521,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"TJK","TAJIK","TJK",NA,NA,NA,NA,NA,NA,NA,0,10,10,1,1,0,1,1,1,0,5,"Rostov Oblast, Rostovskaya Oblast', Russia","RS","RS61",47,42,"-2993228",4,"Dushanbe, Tajikistan (general), Tajikistan","TI","TI00",38.56,68.7739,"-2555530",4,"Dushanbe, Tajikistan (general), Tajikistan","TI","TI00",38.56,68.7739,"-2555530","2013-04-02","http://news.tj/en/news/fifteen-tajik-nationals-detained-rostov-don-march-30-released","don"
