"GlobalEventID","dateEvent","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","dateDocument","SOURCEURL","river"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253468212,"2013-04-01",201304,2013,2013.2493,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,40,40,4,1,1,6,1,6,1.62810625535561,4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468216,"2013-04-01",201304,2013,2013.2493,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,61,61,6,2,6.4,2,1,2,1.62810625535561,2,"Idaho, United States","US","USID",44.2394,-114.51,"ID",1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468217,"2013-04-01",201304,2013,2013.2493,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,61,61,6,2,6.4,2,1,2,1.62810625535561,1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468466,"2013-04-01",201304,2013,2013.2493,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,40,40,4,1,1,6,1,6,1.62810625535561,4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468470,"2013-04-01",201304,2013,2013.2493,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,61,61,6,2,6.4,1,1,1,1.62810625535561,2,"Idaho, United States","US","USID",44.2394,-114.51,"ID",1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468471,"2013-04-01",201304,2013,2013.2493,"CHNGOV","CHINA","CHN",NA,NA,NA,NA,"GOV",NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,1,61,61,6,2,6.4,1,1,1,1.62810625535561,1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468473,"2013-04-01",201304,2013,2013.2493,"CHNGOV","CHINESE","CHN",NA,NA,NA,NA,"GOV",NA,NA,"CHNGOV","XI JINPING","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,40,40,4,1,1,4,1,2,1.62810625535561,4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253468474,"2013-04-01",201304,2013,2013.2493,"CHNGOV","XI JINPING","CHN",NA,NA,NA,NA,"GOV",NA,NA,"CHNGOV","CHINESE","CHN",NA,NA,NA,NA,"GOV",NA,NA,1,61,61,6,2,6.4,2,1,2,1.62810625535561,2,"Idaho, United States","US","USID",44.2394,-114.51,"ID",1,"India","IN","IN",20,77,"IN",1,"India","IN","IN",20,77,"IN","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
253477141,"2013-04-01",201304,2013,2013.2493,"KAZ","KAZAKHSTAN","KAZ",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,31,31,3,1,5.2,10,1,10,1.62810625535561,1,"Kazakhstan","KZ","KZ",48,68,"KZ",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090",4,"Jinping, Hunan, China","CH","CH11",27.0039,109.832,"6175090","2013-04-01","http://www.thehindu.com/opinion/op-ed/one-river-two-countries-too-many-dams/article4570590.ece","river"
